Date,Open,High,Low,Close,Adj Close,Volume
2019-05-27,0.428000,0.440000,0.428000,0.434000,0.434000,183100
2019-06-03,0.446000,0.450000,0.400000,0.430000,0.430000,572400
2019-06-10,0.433000,0.470000,0.420000,0.448000,0.448000,832100
2019-06-17,0.453000,0.456000,0.416000,0.435000,0.435000,498600
2019-06-24,0.435000,0.456000,0.415000,0.450000,0.450000,446400
2019-07-01,0.436000,0.470000,0.434000,0.462000,0.462000,530600
2019-07-08,0.470000,0.470000,0.411000,0.450000,0.450000,566300
2019-07-15,0.455000,0.460000,0.435000,0.455000,0.455000,899200
2019-07-22,0.445000,0.483000,0.440000,0.470000,0.470000,437700
2019-07-29,0.480000,0.480000,0.447000,0.447000,0.447000,604600
2019-08-05,0.432000,0.432000,0.381000,0.414000,0.414000,836400
2019-08-12,0.391000,0.391000,0.333000,0.345000,0.345000,538800
2019-08-19,0.388000,0.398000,0.354000,0.391000,0.391000,361400
2019-08-26,0.394000,0.420000,0.362000,0.412000,0.412000,634500
2019-09-02,0.411000,0.432000,0.390000,0.420000,0.420000,137900
2019-09-09,0.420000,0.440000,0.410000,0.440000,0.440000,685300
2019-09-16,0.440000,0.460000,0.437000,0.452000,0.452000,494900
2019-09-23,0.458000,0.470000,0.435000,0.466000,0.466000,415400
2019-09-30,0.454000,0.480000,0.440000,0.447000,0.447000,147300
2019-10-07,0.449000,0.489000,0.430000,0.485000,0.485000,407200
2019-10-14,0.475000,0.489000,0.465000,0.465000,0.465000,266400
2019-10-21,0.461000,0.489000,0.461000,0.480000,0.480000,149200
2019-10-28,0.470000,0.510000,0.470000,0.510000,0.510000,197900
2019-11-04,0.501000,0.506000,0.465000,0.480000,0.480000,203200
2019-11-11,0.470000,0.500000,0.465000,0.500000,0.500000,386400
2019-11-18,0.507000,0.545000,0.500000,0.502000,0.502000,1048000
2019-11-25,0.501000,0.530000,0.496000,0.530000,0.530000,234500
2019-12-02,0.518000,0.518000,0.480000,0.487000,0.487000,564600
2019-12-09,0.483000,0.511000,0.455000,0.500000,0.500000,486100
2019-12-16,0.498000,0.500000,0.460000,0.491000,0.491000,214200
2019-12-23,0.475000,0.510000,0.475000,0.490000,0.490000,322100
2019-12-30,0.501000,0.503000,0.480000,0.490000,0.490000,258300
2020-01-06,0.490000,0.490000,0.451000,0.465000,0.465000,276100
2020-01-13,0.460000,0.482000,0.455000,0.479000,0.479000,210500
2020-01-20,0.480000,0.480000,0.472000,0.472000,0.472000,135700
2020-01-27,0.460000,0.470000,0.435000,0.450000,0.450000,157100
2020-02-03,0.442000,0.460000,0.426000,0.430000,0.430000,378100
2020-02-10,0.430000,0.444000,0.420000,0.443000,0.443000,233600
2020-02-17,0.435000,0.435000,0.389000,0.406000,0.406000,319700
2020-02-24,0.364000,0.383000,0.315000,0.330000,0.330000,912100
2020-03-02,0.334000,0.366000,0.295000,0.318000,0.318000,604100
2020-03-09,0.265000,0.311000,0.218000,0.259000,0.259000,1404200
2020-03-16,0.228000,0.251000,0.170000,0.195000,0.195000,1357200
2020-03-23,0.185000,0.222000,0.160000,0.206000,0.206000,571800
2020-03-30,0.214000,0.249000,0.180000,0.185000,0.185000,402600
2020-04-06,0.185000,0.260000,0.185000,0.242000,0.242000,396300
2020-04-13,0.244000,0.249000,0.202000,0.210000,0.210000,249000
2020-04-20,0.205000,0.233000,0.180000,0.197000,0.197000,564300
2020-04-27,0.195000,0.220000,0.195000,0.195000,0.195000,241100
2020-05-04,0.190000,0.202000,0.181000,0.188000,0.188000,370700
2020-05-11,0.189000,0.197000,0.150000,0.173000,0.173000,593900
2020-05-18,0.176000,0.193000,0.165000,0.175000,0.175000,263800
2020-05-25,0.199000,0.235000,0.199000,0.221000,0.221000,661800
