Country,Subject Descriptor,Units,Scale,"Country/Series-specific Notes",2019,2020,2021
Afghanistan,"Gross domestic product, constant prices",Percent change,,,3.037,-3.007,4.495
Afghanistan,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,76.624,74.792,79.678
Afghanistan,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,1.654,-4.291,3.063
Afghanistan,"Inflation, average consumer prices",Percent change,,,2.302,4.711,4.451
Afghanistan,"Inflation, end of period consumer prices",Percent change,,,2.773,4.5,5
Afghanistan,General government net lending/borrowing,Percent of GDP,,,-0.983,-4,-2.007
Afghanistan,Current account balance,Percent of GDP,,,8.591,4.898,5.753
Albania,"Gross domestic product, constant prices",Percent change,,,2.214,-5.006,8
Albania,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,39.832,38.078,41.926
Albania,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,2.095,-4.854,8.173
Albania,"Inflation, average consumer prices",Percent change,,,1.411,2.39,2.75
Albania,"Inflation, end of period consumer prices",Percent change,,,1.15,2.6,2.9
Albania,Unemployment rate,Percent of total labor force,,,12,11.8,11.5
Albania,General government net lending/borrowing,Percent of GDP,,,-1.957,-5.393,-3.066
Albania,Current account balance,Percent of GDP,,,-7.621,-11.226,-8.11
Algeria,"Gross domestic product, constant prices",Percent change,,,0.7,-5.157,6.231
Algeria,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,668.827,638.363,691.364
Algeria,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,-1.232,-6.907,4.351
Algeria,"Inflation, average consumer prices",Percent change,,,1.952,3.5,3.7
Algeria,"Inflation, end of period consumer prices",Percent change,,,2.434,3.3,4
Algeria,Unemployment rate,Percent of total labor force,,,11.383,15.091,13.909
Algeria,General government net lending/borrowing,Percent of GDP,,,-5.081,-14.952,-10.102
Algeria,Current account balance,Percent of GDP,,,-9.609,-18.278,-17.057
Angola,"Gross domestic product, constant prices",Percent change,,,-1.503,-1.374,2.644
Angola,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,200.83,199.329,208.589
Angola,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,-4.371,-4.246,-0.346
Angola,"Inflation, average consumer prices",Percent change,,,17.079,20.719,22.282
Angola,"Inflation, end of period consumer prices",Percent change,,,16.893,20.979,23.981
Angola,General government net lending/borrowing,Percent of GDP,,,0.695,-5.978,-2.482
Angola,Current account balance,Percent of GDP,,,2.899,-6.719,-3.017
Antigua and Barbuda,"Gross domestic product, constant prices",Percent change,,,5.264,-9.998,7.959
Antigua and Barbuda,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,2.767,2.506,2.758
Antigua and Barbuda,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,3.696,-11.321,6.397
Antigua and Barbuda,"Inflation, average consumer prices",Percent change,,,1.38,1.443,1.685
Antigua and Barbuda,"Inflation, end of period consumer prices",Percent change,,,1.574,1.348,2.008
Antigua and Barbuda,General government net lending/borrowing,Percent of GDP,,,-3.725,-9.46,-5.635
Antigua and Barbuda,Current account balance,Percent of GDP,,,-7.479,-25.567,-25.269
Argentina,"Gross domestic product, constant prices",Percent change,,,-2.163,-5.719,4.448
Argentina,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,911.562,864.887,920.972
Argentina,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,-3.132,-6.653,3.414
Argentina,"Inflation, average consumer prices",Percent change,,,53.548,n/a,n/a
Argentina,"Inflation, end of period consumer prices",Percent change,,,53.832,n/a,n/a
Argentina,Unemployment rate,Percent of total labor force,,,9.825,10.903,10.084
Argentina,General government net lending/borrowing,Percent of GDP,,,-3.869,n/a,n/a
Argentina,Current account balance,Percent of GDP,,,-0.771,n/a,n/a
Armenia,"Gross domestic product, constant prices",Percent change,,,7.597,-1.479,4.77
Armenia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,33.426,33.141,35.399
Armenia,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,7.588,-1.487,4.762
Armenia,"Inflation, average consumer prices",Percent change,,,1.443,0.847,2.028
Armenia,"Inflation, end of period consumer prices",Percent change,,,0.72,1.535,2.525
Armenia,Unemployment rate,Percent of total labor force,,,17.707,18.964,18.389
Armenia,General government net lending/borrowing,Percent of GDP,,,-0.976,-4.986,-2.456
Armenia,Current account balance,Percent of GDP,,,-8.201,-8.56,-7.225
Aruba,"Gross domestic product, constant prices",Percent change,,,0.4,-13.7,12.1
Aruba,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,4.472,3.883,4.438
Aruba,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,-0.045,-14.072,11.655
Aruba,"Inflation, average consumer prices",Percent change,,,4.257,1.514,1.952
Aruba,"Inflation, end of period consumer prices",Percent change,,,5.162,-0.663,3.257
Aruba,Unemployment rate,Percent of total labor force,,,7.544,7.504,7.458
