Date,Open,High,Low,Close,Adj Close,Volume
2019-05-27,2.530000,2.820000,2.530000,2.725000,2.725000,275343
2019-06-03,2.670000,2.770000,2.480000,2.560000,2.560000,275941
2019-06-10,2.740000,2.820000,2.610000,2.800000,2.800000,174829
2019-06-17,2.800000,2.810000,2.480000,2.505000,2.505000,150606
2019-06-24,2.650000,2.740000,2.570000,2.700000,2.700000,93096
2019-07-01,2.750000,2.830000,2.635000,2.790000,2.790000,82348
2019-07-08,2.770000,2.770000,2.450000,2.480000,2.480000,151727
2019-07-15,2.450000,2.690000,2.400000,2.640000,2.640000,105599
2019-07-22,2.635000,2.750000,2.560000,2.750000,2.750000,40156
2019-07-29,2.800000,2.940000,2.800000,2.830000,2.830000,121815
2019-08-05,2.700000,2.730000,2.510000,2.560000,2.560000,207628
2019-08-12,2.480000,2.480000,2.110000,2.240000,2.240000,227187
2019-08-19,2.420000,2.600000,2.350000,2.450000,2.450000,41337
2019-08-26,2.580000,2.880000,2.500000,2.880000,2.880000,329980
2019-09-02,2.880000,2.970000,2.600000,2.930000,2.930000,264666
2019-09-09,2.780000,2.950000,2.760000,2.900000,2.900000,146360
2019-09-16,2.870000,3.080000,2.750000,3.080000,3.080000,205800
2019-09-23,3.010000,3.090000,2.950000,2.980000,2.980000,102993
2019-09-30,3.070000,3.070000,2.670000,2.670000,2.670000,230567
2019-10-07,2.690000,2.990000,2.600000,2.980000,2.980000,86004
2019-10-14,3.000000,3.100000,2.980000,3.060000,3.060000,97423
2019-10-21,3.080000,3.270000,3.080000,3.200000,3.200000,206540
2019-10-28,3.201000,3.450000,3.200000,3.450000,3.450000,204236
2019-11-04,3.360000,3.380000,3.045000,3.100000,3.100000,229067
2019-11-11,3.070000,3.400000,2.952500,3.320000,3.320000,175154
2019-11-18,3.315000,3.500000,3.280000,3.440000,3.440000,192485
2019-11-25,3.480000,3.500000,3.310000,3.389900,3.389900,70356
2019-12-02,3.350000,3.400000,3.200000,3.240000,3.240000,80344
2019-12-09,3.195000,3.400000,3.110000,3.290000,3.290000,32129
2019-12-16,3.250000,3.350000,3.150000,3.280000,3.280000,65737
2019-12-23,3.300000,3.350000,3.205000,3.340000,3.340000,30999
2019-12-30,3.410000,3.440000,3.200000,3.310000,3.310000,104381
2020-01-06,3.200000,3.320000,3.150000,3.197500,3.197500,154277
2020-01-13,3.200000,3.350000,3.120000,3.312000,3.312000,98332
2020-01-20,3.312000,3.350000,3.260000,3.290000,3.290000,53377
2020-01-27,3.250000,3.320000,3.120000,3.200000,3.200000,209927
2020-02-03,3.150000,3.250000,3.050000,3.130000,3.130000,225735
2020-02-10,3.120000,3.219000,3.070000,3.170000,3.170000,73563
2020-02-17,3.170000,3.170000,2.810000,2.820000,2.820000,176669
2020-02-24,2.600000,2.700000,2.150000,2.250000,2.250000,274204
2020-03-02,2.280000,2.460000,1.940000,2.010000,2.010000,193850
2020-03-09,1.720000,1.950000,1.230000,1.300000,1.300000,371148
2020-03-16,1.100000,1.100000,0.903990,1.060000,1.060000,300836
2020-03-23,1.100000,1.370000,0.920000,1.290000,1.290000,350786
2020-03-30,1.280000,1.450000,1.100000,1.170000,1.170000,283049
2020-04-06,1.265000,1.515000,1.200000,1.420000,1.420000,298172
2020-04-13,1.384400,1.450000,1.190000,1.419000,1.419000,207503
2020-04-20,1.350000,1.400000,1.160000,1.270000,1.270000,287016
2020-04-27,1.310000,1.470000,1.250000,1.315000,1.315000,133525
2020-05-04,1.250000,1.340000,1.230000,1.260000,1.260000,142199
2020-05-11,1.250000,1.300000,1.060000,1.140000,1.140000,480466
2020-05-18,1.105000,1.160000,1.020000,1.050000,1.050000,570236
2020-05-25,1.050000,1.460000,1.050000,1.390000,1.390000,323210
